,0,1,2,3,4
0,0,3.2586,6.3243,3.2861,5.2667
1,1,4.5047,2.057,2.2504,4.6917
2,0,1.4826,5.6004,1.5389,5.2652
3,0,3.6064,3.8741,2.8673,4.2801
4,1,2.7614,1.6119,1.0422,3.0785
5,1,4.1375,2.6906,2.0971,4.8132
6,0,3.6082,11.165,3.5799,11.379
7,1,1.5793,1.2542,2.2604,2.2739
8,0,2.3139,7.3324,1.9416,8.8781
9,1,2.6245,2.6786,2.2211,3.3538
10,1,6.3426,5.0079,3.6984,6.2476
11,1,4.0434,2.9823,1.7684,4.6218
12,0,3.4892,3.6004,3.0333,4.4917
13,1,2.4953,3.0629,2.7607,5.3893
14,1,16.923,0.6067,2.7351,16.614
15,0,2.3534,4.516,3.3171,3.5778
16,1,2.6939,2.548,2.7562,2.8254
17,0,2.0471,2.9318,2.1588,2.2892
18,0,3.9636,2.9706,2.868,2.9955
19,1,8.9611,4.602,3.0686,10.646
20,1,7.9197,1.17,2.2795,6.6788
21,1,3.1156,0.49113,2.0578,3.0128
22,0,2.4923,2.5267,3.7451,4.1016
23,0,1.4514,5.3117,2.8196,5.2965
24,0,2.8966,3.375,2.817,4.0969
25,1,4.2059,2.245,1.9861,2.7989
26,0,1.1132,1.7779,1.0526,2.1298
27,1,11.3,0.52803,2.7501,8.9664
28,1,3.776,2.6689,1.8878,2.857
29,1,4.2126,1.1469,2.2415,4.0642
30,1,11.094,1.3983,2.859,10.737
31,1,2.6996,1.1153,2.6418,4.1463
32,1,12.924,3.1661,3.8058,13.365
33,1,9.4274,4.0768,3.1858,11.123
34,1,6.9185,2.7147,2.3362,5.8105
35,1,9.1584,4.2065,2.715,10.458
36,1,2.708,3.1159,1.7993,2.7238
37,1,15.739,3.8468,3.9805,15.172
38,0,0.98924,5.7807,2.0446,5.7331
39,0,1.7364,3.7356,3.105,3.4053
40,1,3.1219,2.479,2.4102,2.7337
41,0,0.16314,4.0954,2.7013,3.9923
42,1,4.2572,3.7284,3.9571,5.4729
43,0,3.8604,11.486,2.5249,11.114
44,0,3.1245,3.1387,2.8069,2.936
45,0,5.8753,1.9729,2.7251,2.7913
46,1,5.3399,4.1173,4.483,5.186
47,1,2.347,1.4796,1.3332,1.8259
48,1,4.5571,5.0042,3.4514,4.7522
49,0,2.7476,5.0049,2.7593,3.3783
50,1,8.7823,4.2982,2.296,8.9222
51,1,0.52001,3.1937,3.3276,3.3386
52,1,4.5807,1.5831,2.3111,4.4817
53,1,2.0424,4.0833,2.8423,3.3531
54,0,2.3985,3.1875,3.3453,3.3573
55,1,6.8262,4.3097,4.1106,7.5571
56,0,2.5334,10.887,2.8682,11.443
57,1,4.4235,3.3198,2.234,3.275
58,1,5.1888,3.3408,2.6299,4.8671
59,0,2.4056,2.8391,2.0429,2.0852
60,1,7.817,2.9449,2.0154,7.9163
61,0,2.7009,4.476,2.3556,3.2753
62,1,3.4564,3.3109,3.3442,5.5061
63,0,4.4894,6.1118,3.8991,5.451
64,0,2.9407,8.1096,3.2961,5.5259
65,1,2.3605,2.5803,2.6115,2.8114
66,1,7.1367,4.5747,4.3182,6.6602
67,0,1.4471,9.4861,2.6434,9.1811
68,0,3.0869,1.5045,2.5215,2.5416
69,1,10.08,4.7921,3.376,9.2475
70,0,2.1486,2.6918,2.3034,2.6272
71,0,0.66335,6.1836,2.912,6.5433
72,0,1.9523,6.9124,2.0367,6.0743
73,0,1.3583,5.4685,2.5023,4.5352
74,0,1.8434,2.9342,1.6282,3.078
75,0,2.8362,6.2642,3.0846,6.1231
76,0,2.5404,3.703,2.8883,3.1785
77,1,14.728,2.6198,2.5371,13.44
78,0,1.2561,9.6651,2.6697,9.5549
79,1,5.5347,1.9065,2.3083,7.3643
80,1,3.8422,2.58,2.4626,2.5401
81,1,15.308,2.3475,2.7511,14.769
82,1,1.6765,1.53,2.1609,2.1923
83,0,3.0546,2.1895,2.9383,3.0038
84,1,6.9028,2.0654,2.5556,7.984
85,0,3.629,2.0368,2.4464,3.0223
86,1,8.2256,3.8818,3.8611,7.2152
87,0,3.1024,11.997,3.6514,10.914
88,0,3.2408,6.2749,3.5039,5.1015
89,0,4.4525,6.6182,3.7394,7.4851
90,1,6.7477,3.6323,2.8099,6.741
91,0,2.7847,5.1037,3.1561,3.7433
92,0,1.5887,2.0866,1.5742,3.7135
93,0,3.4043,5.7963,3.7338,4.4072
94,1,19.077,3.4329,2.4957,19.031
95,0,2.6967,5.6901,2.5882,4.9122
96,0,0.87049,2.9762,2.1419,2.1947
97,1,2.0804,2.5327,2.6382,2.6679
98,1,9.8127,2.5449,2.8863,9.6793
99,1,2.8895,2.7386,1.928,1.9958
100,1,4.6405,2.7852,3.9404,4.3732
101,0,1.8182,2.674,2.3801,2.5366
102,0,2.4137,5.8643,1.8366,5.1702
103,1,6.3656,2.9361,2.9171,6.1087
104,0,3.8506,9.9,2.2173,10.565
105,0,6.3877,1.852,4.5746,4.585
106,1,6.9541,7.4435,5.066,7.7186
107,0,4.4858,6.35,4.1857,4.5753
108,1,3.9905,1.0189,2.9123,3.3024
109,0,1.5802,3.9967,4.0487,4.286
110,0,3.2079,4.0331,3.2732,3.2842
111,1,10.125,3.1514,3.5088,9.8955
112,1,3.9606,2.899,3.2504,3.2615
113,1,8.8607,2.4463,2.9534,6.8033
114,1,2.682,3.5088,2.3554,2.491
115,0,3.9346,3.8818,3.0256,3.0364
116,0,3.8343,4.9533,2.7761,5.0676
117,1,2.4899,2.2719,2.623,3.5381
118,0,2.8125,3.6443,1.9245,2.3992
119,0,3.5182,7.2426,3.1069,5.3607
120,0,3.7612,3.5252,2.3342,3.7049
121,1,3.2451,3.5626,3.2284,4.9983
122,0,4.9929,5.6569,3.6148,5.0514
123,1,5.4878,1.6138,1.9774,6.1223
124,0,3.2524,3.3905,3.0534,3.3634
125,1,2.8374,3.9507,2.0604,3.1929
126,1,2.7316,-0.057256,1.502,1.5191
127,1,4.1332,4.1106,2.8416,4.625
128,1,13.166,4.4782,2.486,12.799
129,1,1.7907,1.4627,1.822,2.7289
130,1,8.3451,4.0863,2.9042,8.6473
131,1,4.3186,5.0679,4.311,4.9932
132,0,3.7374,5.392,3.0443,6.9292
133,1,10.9,3.0414,2.5036,12.688
134,1,1.5336,2.7177,2.3339,2.3439
135,0,3.83,4.3913,3.8122,5.8797
136,1,8.2024,1.993,3.3914,8.4022
137,1,4.7866,3.4768,2.8035,4.1169
138,0,-0.19393,0.28159,0.86568,1.4775
139,1,9.7056,3.256,3.4676,7.9084
140,0,1.511,3.2891,2.1767,3.7286
141,0,4.3808,5.9096,3.547,7.192
142,1,12.113,2.1754,2.4052,13.602
143,0,2.6533,5.4084,2.8885,5.3643
144,1,1.8513,3.4975,2.2734,2.2903
145,0,3.7335,2.6021,2.7265,3.0339
146,1,5.7259,2.6337,2.9318,5.0574
147,1,2.1123,3.493,3.0877,3.8884
148,1,1.2496,1.487,2.3727,2.8406
149,1,9.6277,1.9277,2.7063,10.368
150,1,10.982,1.5317,3.3457,10.918
151,1,9.1585,2.8948,3.1744,9.8645
152,0,3.0485,3.8701,1.7934,3.1054
153,1,9.481,0.99671,3.8285,10.584
154,1,6.1969,2.1358,3.0827,5.9059
155,1,7.6612,3.0624,2.6672,7.2547
156,0,3.7772,5.5713,4.3017,6.8193
157,0,2.3034,2.5681,2.0057,2.1526
158,0,1.2842,4.3152,2.877,2.9092
159,1,10.947,4.1802,3.6126,10.665
160,0,2.0528,19.105,2.8984,18.891
161,1,6.6321,2.7167,2.1754,6.7624
162,1,2.4795,1.717,2.1737,2.3365
163,1,5.067,3.4044,2.2003,6.0451
164,1,10.271,3.7408,2.7138,9.646
165,1,4.247,2.8884,3.2132,3.7647
166,1,5.3488,2.0892,2.0047,4.4322
167,0,2.2615,-0.10643,2.8497,3.7473
168,0,1.1974,7.7522,1.6798,7.7188
169,1,20.466,2.7359,2.6724,19.464
170,1,3.737,0.61523,1.9348,2.7658
171,1,1.5589,0.61902,1.6087,2.4321
172,0,3.4821,3.3185,2.3756,3.1733
173,0,2.4815,2.9936,2.339,2.3528
174,0,3.3428,7.5377,3.5816,5.841
175,0,1.0221,1.5366,1.616,1.6711
176,0,2.2431,2.4202,1.9139,4.0761
177,0,3.3451,2.595,2.0746,4.2179
178,1,2.1718,0.59353,0.85112,1.4767
179,1,2.2046,2.1969,1.9191,2.9996
180,1,11.793,4.9262,3.0793,12.731
181,0,3.3421,0.94136,2.2565,2.269
182,0,5.0472,9.9824,3.3475,8.5388
183,0,-0.6235,2.2954,2.0495,4.7523
184,0,0.93518,2.1009,2.8025,2.8999
185,0,0.80714,4.6583,1.3791,4.5604
186,1,12.54,2.6087,3.7856,11.754
187,1,5.5651,2.412,1.7114,5.0121
188,0,6.2143,4.6342,4.0087,5.5348
189,1,4.5735,3.5264,3.5291,4.7939
190,0,3.0312,2.6028,2.7691,3.1701
191,0,2.2946,0.2613,1.3326,1.4524
192,0,2.6627,5.9659,2.7964,4.3362
193,1,2.6472,3.7615,2.4537,2.5859
194,0,2.7725,5.0048,2.7709,5.9647
195,1,3.2511,2.7519,2.3994,3.9795
196,1,4.0131,3.5917,2.053,2.8665
197,1,3.8631,3.2504,2.3684,3.1528
198,0,2.7232,3.7535,3.4016,4.0572
199,1,9.8185,3.5301,2.2049,9.0687
200,0,2.7617,2.1206,2.3085,2.3784
201,0,2.7593,7.4824,2.6061,7.1864
202,0,3.9978,5.1769,3.1538,5.2712
203,0,1.8882,2.5676,2.0963,2.4925
204,1,5.6367,2.4718,3.9794,5.6826
205,1,5.7042,1.2617,1.984,7.2361
206,1,6.5792,3.4968,3.1209,5.3455
207,0,2.3507,9.9417,2.6993,8.2248
208,0,1.8716,10.179,3.0528,8.4577
209,1,4.7626,3.6878,2.3842,3.9746
210,1,9.0424,5.5676,3.8212,7.1886
211,0,1.4078,1.8176,2.4064,3.1472
212,1,4.4063,1.8169,2.1706,5.5932
213,0,1.3121,6.3475,3.0478,7.5321
214,0,3.8103,5.8681,2.9834,5.7457
215,1,5.466,3.5626,3.162,3.967
216,0,4.1401,5.1631,3.1327,3.749
217,1,8.0668,2.7495,2.6534,8.7107
218,1,11.65,1.7258,2.3096,12.528
219,1,8.8625,2.206,2.4825,7.389
220,0,0.28339,1.3509,1.5246,2.0548
221,0,3.8203,10.871,2.8316,11.647
222,1,2.5945,4.3852,2.3244,4.155
223,0,3.8305,2.8709,2.6839,2.7169
224,0,3.3759,4.2239,2.2202,4.7216
225,0,3.0061,4.1837,3.7879,3.9275
226,1,3.6347,3.606,3.9084,3.9194
227,1,12.473,2.0875,2.3518,10.474
228,0,3.1955,3.7091,4.2463,4.4716
229,1,4.6706,3.3826,3.286,4.2299
230,0,2.9062,3.0203,3.5484,3.5657
231,1,18.606,4.9112,2.5012,17.401
232,1,6.5817,1.3393,1.8149,8.0875
233,1,11.84,4.2853,2.7045,10.437
234,1,4.5679,1.2075,1.7029,3.7859
235,0,2.5121,2.3664,2.1451,2.1877
236,0,2.3064,5.8094,3.1327,5.0666
237,1,8.0864,3.8051,2.7702,8.2136
238,1,2.4212,3.7274,2.2034,2.9616
239,0,1.3161,3.5668,1.9146,3.5926
240,1,14.263,2.5218,2.1566,14.336
241,0,0.44972,2.9954,1.684,3.5112
242,0,2.923,6.7569,4.0002,7.7297
243,0,2.708,4.3917,2.3669,2.4355
244,1,7.8468,2.1783,2.0722,8.9638
245,0,1.4002,4.0468,2.4605,2.4796
246,1,1.8586,-0.013176,1.9337,1.9505
247,0,2.3143,3.2041,2.3147,3.5721
