triple_index,Academic Year,State/District/School,Test Name,Subject,School,Grade,Score Count,Mean Scale Score,Standard Deviation,% Participation,School Code,_x,_x,Charter Y/N,_x,Physical Address,City,State,Zip Code,Phone,Low grade,High grade,Congressional District,District Setting,Combined Address,Latitude,Longitude,geometry,COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME	,SCHOOL NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,PAID LUNCH,FREE AND REDUCED COUNT,% FREE,% REDUCED,% FREE AND REDUCED,FRL % RANGE,PK-12 Pupil Membership,SPED Count,SPED Pct,EL Count,EL Pct,Homeless Count,Homeless Pct,Gifted and Talented Count,GT Pct,Online Count,Online Pct,Section 504 Count,Section 504 Pct,Immigrant Count,Immigrant Pct,Migrant Count,Migrant Pct,_x,_x,Distr Code,Distr Name,_x,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,_x,School Year,_x,_x,2019-2020 Students Counted,Total Days in Session Reported,Attendance Rate*,Truancy Rate** ,Total Days Attended for all Students,Total Student Days Excused Absence for all Students,Total Student Days Unexcused Absence for all Students,Total Days Possible Attendance for all Students,County Code,County Name,School Name,Teacher FTE,Pupil/Teacher FTE Ratio,District Code,District,Total FTE,Average Salary,Total FTE.1,Average Salary.1,Total FTE.2,Average Salary.2,num_from_RORCO,Capacity,is_RORCO,nearby_students,is_rural
2014-15_Grade 03_7512,2014-15,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),Grade 03,29,760.448275862069,29.969730213401,0.966666666666,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,22.400000000000002,28,1,3551,1
2014-15_Grade 04_7512,2014-15,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 04,22,755.227272727273,19.35121952151,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,25.6,32,1,3551,1
2014-15_Grade 05_7512,2014-15,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 05,19,747.947368421053,29.104168628891,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,24.0,30,1,3551,1
2014-15_Grade 06_7512,2014-15,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 06,23,762.913043478261,27.009952784244,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,21.6,27,1,3551,1
2015-16_Grade 03_7512,2015-16,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),Grade 03,17,738.411764705882,34.387604640933,0.485714285714,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,22.400000000000002,28,1,3551,1
2016-17_Grade 03_7512,2016-17,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),Grade 03,28,744.821428571429,39.783724172011,0.965517241379,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,22.400000000000002,28,1,3551,1
2016-17_Grade 04_7512,2016-17,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 04,29,742.310344827586,33.823178282984,0.90625,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,25.6,32,1,3551,1
2016-17_Grade 05_7512,2016-17,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 05,27,736.37037037037,25.315164424857,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,24.0,30,1,3551,1
2016-17_Grade 06_7512,2016-17,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 06,17,756.882352941176,22.827840329686,0.944444444444,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,21.6,27,1,3551,1
2016-17_Grade 07_7512,2016-17,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 07,18,756.666666666667,23.197362933291,0.818181818181,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,18.400000000000002,23,1,3551,1
