District Code,District Name,School Code,Charter Y/N,School Name,Physical Address,City,State,Zip Code,Phone,Low grade,High grade,Congressional District,District Setting
0010,Mapleton 1,0309,N,Academy High School,8970 YORK ST,THORNTON,CO,80229,3038531900,090,120,8,Denver Metro
0010,Mapleton 1,0505,N,Achieve Academy,9100 POZE BLVD,THORNTON,CO,80229,3038531300,004,080,8,Denver Metro
0010,Mapleton 1,0507,N,Adventure Elementary,7725 CONIFER RD,DENVER,CO,80221,3038531410,004,060,8,Denver Metro
0010,Mapleton 1,0509,N,Clayton Partnership School,8970 YORK ST,THORNTON,CO,80229,3038531460,006,080,8,Denver Metro
0010,Mapleton 1,0506,N,Explore Pk-8,10310 YORK ST,THORNTON,CO,80229,3038531300,004,080,8,Denver Metro
0010,Mapleton 1,3590,N,Global Intermediate Academy,7480 CONIFER ROAD,DENVER,CO,80221,3038531930,040,080,8,Denver Metro
0010,Mapleton 1,0263,N,Global Leadership Academy,7480 CONIFER ROAD,DENVER,CO,80221,3038531930,090,120,8,Denver Metro
0010,Mapleton 1,3623,N,Global Primary Academy,7480 CONIFER ROAD,DENVER,CO,80221,3038531170,002,030,8,Denver Metro
0010,Mapleton 1,0212,N,Mapleton Early Career Preparation,8980 YORK ST,THORNTON,CO,80229,3038531960,090,120,8,Denver Metro
0010,Mapleton 1,0187,N,Mapleton Expeditionary School of the Arts,8980 YORK ST,THORNTON,CO,80299,3038531270,090,120,8,Denver Metro
0010,Mapleton 1,6915,N,Mapleton Online,7350 NORTH BROADWAY,DENVER,CO,80221,3038531000,007,120,8,Denver Metro
0010,Mapleton 1,0502,N,Meadow Community School,9150 MONROE ST,THORNTON,CO,80229,3038531500,004,080,8,Denver Metro
0010,Mapleton 1,0501,N,Monterey Community School,2210 MCELWAIN BLVD,DENVER,CO,80229,3038531360,006,080,8,Denver Metro
0010,Mapleton 1,6315,N,North Valley School for Young Adults,8990 YORK ST,THORNTON,CO,80229,3038531790,090,120,8,Denver Metro
0010,Mapleton 1,6917,N,Performing Arts School on Broadway,7350 NORTH BROADWAY SUITE 200,DENVER,CO,80221,3038531000,070,120,8,Denver Metro
0010,Mapleton 1,2768,N,Preschool on Poze,2410 POZE BLVD,THORNTON,CO,80029,3038531000,002,004,8,Denver Metro
0010,Mapleton 1,8823,N,Trailside Academy,2300 WEST 67TH PL.,DENVER,CO,80221,3038531000,004,080,8,Denver Metro
0010,Mapleton 1,6916,N,Valley View Innovation School,6951 FOX WAY,DENVER,CO,80221,3038531560,004,040,8,Denver Metro
0010,Mapleton 1,0504,N,Welby Community School of the Arts ,1200 E 78TH AVE,DENVER,CO,80229,3038531700,004,060,8,Denver Metro
0010,Mapleton 1,0503,N,York International,9200 YORK ST,THORNTON,CO,80229,3038531600,006,120,8,Denver Metro
0020,Adams 12 Five Star Schools,0301,N,Arapahoe Ridge Elementary School,13095 PECOS STREET,WESTMINSTER,CO,80030,7209725740,004,050,8,Denver Metro
0020,Adams 12 Five Star Schools,9165,N,Bright Horizons Preschool,5321 E 136TH AVE,THORNTON,CO,80602,7209728760,004,004,8,Denver Metro
0020,Adams 12 Five Star Schools,1388,N,Centennial Elementary School,13200 WESTLAKE DRIVE,BROOMFIELD,CO,80020,7209725280,004,050,7,Denver Metro
0020,Adams 12 Five Star Schools,1480,N,Century Middle School,13000 LAFAYETTE STREET,THORNTON,CO,80241,7209725240,060,080,8,Denver Metro
0020,Adams 12 Five Star Schools,2576,N,Cherry Drive Elementary School,11500 CHERRY DRIVE,THORNTON,CO,80233,7209725300,004,050,8,Denver Metro
0020,Adams 12 Five Star Schools,1878,N,Coronado Hills Elementary School,8300 DOWNING DRIVE,THORNTON,CO,80229,7209725320,004,050,8,Denver Metro
0020,Adams 12 Five Star Schools,1914,N,Cotton Creek Elementary School,11100 VRAIN STREET,WESTMINSTER,CO,80030,7209725340,006,050,8,Denver Metro
0020,Adams 12 Five Star Schools,1937,N,Coyote Ridge Elementary School,13770 BROADLANDS DRIVE,BROOMFIELD,CO,80020,7209725780,006,050,7,Denver Metro
0020,Adams 12 Five Star Schools,2361,N,Eagleview Elementary School,4601 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,7209725760,006,050,8,Denver Metro
