Site ID,Site Type,Site Name,Status,Regions,Report Name,Report Submission Date,Report Submission Year,Site Join Date,Well-Child Visits 6 mos - 5 yrs,Books Distributed 6 mos - 5 yrs,Well-Child Visits 0-5 mos,Books Distributed 0-5 mos,Total Well Child Visits in 6 mths,Total Books Distributed in 6 mths,ABB Discrepancy,ABB Discrepancy Notes,W9 received,Physical Location: Line 1,Physical Location: Line 2,Physical Location: Line 3,Physical Location: City,Physical Location: State,Physical Location: Zip,Shipping Address: Line 1,Shipping Address: Line 2,Shipping Address: Line 3,Shipping Address: City,Shipping Address: State,Shipping Address: Zip,County,Trainer Name,Trainer Email,Training %,Total Trained,Insurance: Self Pay Uninsured,Insurance: Private Insurance,Insurance: Medicaid HMO Medicaid,Insurance: Medicare,Insurance: CHIP,Insurance: Tricare,Insurance: Other 1 - Please Specify,Insurance: Other 1,Insurance: Other 2 - Please Specify,Insurance: Other 2,Race: White,Race: Black or African American,Race: Hispanic or Latinx,Race: American Indian   Alaska Native,Race: Asian,Race: Native Hawaiian   Pacific Islander,Race: Multiracial   Biracial,Race: Unknown   Not Reported   Refused,Race: Other - Please Specify,Race: Other 1,Race: Other - Please Specify,Race: Other 2,Language: Amharic (Ethiopia),Language: Arabic,Language: American Sign Language (ASL),Language: Bengali,Language: Bosnian,Language: Burmese (SE Asia),Language: Cambodian,Language: Cape Verdean,Language: Chinese,Language: Dakota (Native American),Language: English,Language: French,Language: Greek,Language: Haitian Creole,Language: Hindi,Language: Hmong,Language: Italian,Language: Japanese,Language: Karen (SE Asia),Language: Korean,Language: Navajo,Language: Ojibwe (Native American),Language: Oromo (Ethiopia),Language: Polish,Language: Portuguese,Language: Russian,Language: Somali,Language: Spanish,Language: Swahili,Language: Tagalog,Language: Vietnamese,Language: Unknown   Not Reported,Language: Please Specify,Language: Other 1,Language: Please Specify,Language: Other 2
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2001 Progress Report,1/31/2001,2001,4 1 1998,0,300,,,0,300,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2001 Progress Report,7/31/2001,2001,4 1 1998,0,400,,,0,400,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,22%,30%,39%,,,,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2000 Progress Report,8/4/2000,2000,4 1 1998,0,200,,,0,200,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2002 Progress Report,2/19/2002,2002,4 1 1998,0,680,,,0,680,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,21%,44%,32%,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2002 Progress Report,8/23/2002,2002,4 1 1998,0,678,,,0,678,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,23%,22%,8%,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2003 Progress Report,2/21/2003,2003,4 1 1998,694,694,,,694,694,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,21%,35%,14%,,,,"""Other"" CHP",1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2003 Progress Report,8/21/2003,2003,4 1 1998,839,597,,,839,597,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,9%,36%,25%,,,,CHC CICP,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2004 Progress Report,2/19/2004,2004,4 1 1998,1859,497,,,1859,497,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,JoAnn Kunugi,CHA,100%,33,23%,42%,17%,,,,CHC CICP,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2004 Progress Report,8/16/2004,2004,4 1 1998,3545,724,,,3545,724,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,none,,100%,33,23%,42%,17%,,,,CHP (Child Health Program),4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2005 Progress Report,3/17/2005,2005,4 1 1998,4933,2523,,,4933,2523,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,23%,42%,17%,,,,CHC (Child Health Program),4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
