{'Propensity Stratification': (0.0005752005192803999, 0.0021066665649414062), 'Direct Difference': (30.92493975052403, 0.0004432201385498047), 'Adjusted Direct': (3.0556512848670403, 1.6599006652832031), 'Horvitz-Thompson': (0.03134538465842138, 0.00040459632873535156), 'Doubly Robust': (0.015488366972312588, 1.972381591796875), 'TMLE': (1.5022737354199658, 3.5343689918518066), 'Off-policy': (0.6672569231326141, 1.8327713012695312), 'Double-Double': (0.08573530011219821, 3.6916441917419434), 'Direct Prediction': (0.06266459372748974, 1.879547119140625), 'FlexTENet': (0.004681130531442032, 10.292186498641968), 'OffsetNet': (0.13191666164905105, 3.4532151222229004), 'TNet': (0.12304531016860089, 5.089655876159668), 'TARNet': (0.04064910847505305, 3.1483373641967773), 'SNet3': (0.7273295476614002, 14.397122621536255), 'DRNet': (0.08783177506502722, 8.14815640449524), 'RANet': (0.2698295366995004, 6.791858673095703), 'PWNet': (0.5802162515683387, 7.872551679611206), 'RNet': (0.00407327612462172, 5.736926317214966), 'XNet': (0.01933001117490019, 12.1436448097229)}
{'Propensity Stratification': (0.002877659488931716, 0.0018966197967529297), 'Direct Difference': (61.80388129256393, 0.0004448890686035156), 'Adjusted Direct': (3.5844514814000656, 1.6387836933135986), 'Horvitz-Thompson': (0.03371718042444813, 0.0003998279571533203), 'Doubly Robust': (0.03817260153518922, 1.936098337173462), 'TMLE': (0.02160574589263003, 3.7241122722625732), 'Off-policy': (0.5377912172710884, 1.9002816677093506), 'Double-Double': (0.49040329547714423, 3.619264841079712), 'Direct Prediction': (0.02182163167362072, 1.9414958953857422), 'FlexTENet': (0.6432699521546624, 10.357628583908081), 'OffsetNet': (0.2508841837144613, 3.379517078399658), 'TNet': (0.01624706964853756, 4.268258810043335), 'TARNet': (0.38758877999318336, 3.605536460876465), 'SNet3': (0.9882019393995056, 15.008812427520752), 'DRNet': (0.18598307341497672, 8.295039176940918), 'RANet': (0.048745524503089895, 6.51513409614563), 'PWNet': (1.2418830475030553, 9.687828779220581), 'RNet': (0.3453201910789219, 6.037972450256348), 'XNet': (0.010717175863937953, 10.057146787643433)}
{'Propensity Stratification': (0.0026802771039057356, 0.0019283294677734375), 'Direct Difference': (44.08556714722042, 0.0004405975341796875), 'Adjusted Direct': (3.471608150153842, 1.8687505722045898), 'Horvitz-Thompson': (0.00012164577830023641, 0.00039577484130859375), 'Doubly Robust': (0.009892307258657673, 1.7455291748046875), 'TMLE': (1.0684260866759432, 3.6056392192840576), 'Off-policy': (0.7917000790772166, 1.9400839805603027), 'Double-Double': (0.052396623965924725, 3.685486078262329), 'Direct Prediction': (0.002086768503738556, 1.9715240001678467), 'FlexTENet': (0.9437086438056983, 8.18224287033081), 'OffsetNet': (0.7041160946188815, 4.386841297149658), 'TNet': (0.5978842626915701, 3.4507763385772705), 'TARNet': (0.010407583417334934, 3.675589084625244), 'SNet3': (1.0920558934224978, 15.04921007156372), 'DRNet': (0.08129876648078971, 7.154819488525391), 'RANet': (0.5800642491664051, 5.592210054397583), 'PWNet': (0.04850609499109609, 8.469911813735962), 'RNet': (0.028292823653682957, 5.6211838722229), 'XNet': (0.2919509430604841, 9.439511775970459)}
{'Propensity Stratification': (0.04139759853426873, 0.0019500255584716797), 'Direct Difference': (161.23210586170626, 0.00043392181396484375), 'Adjusted Direct': (3.7756398058944916, 1.7964179515838623), 'Horvitz-Thompson': (0.04005055737951708, 0.0003943443298339844), 'Doubly Robust': (0.047895758577277424, 2.10736083984375), 'TMLE': (20.512362869833467, 4.03441047668457), 'Off-policy': (0.3019042282744478, 2.162044048309326), 'Double-Double': (0.7634885430282803, 4.018550872802734), 'Direct Prediction': (3.898768398061961e-05, 1.8147807121276855), 'FlexTENet': (0.01716505376911503, 13.58476972579956), 'OffsetNet': (0.45746164426507435, 3.932434558868408), 'TNet': (0.2579512004459248, 3.695509433746338), 'TARNet': (0.0004509320161108856, 3.2086594104766846), 'SNet3': (0.44576787228423526, 13.447168350219727), 'DRNet': (0.43822507155785223, 8.79370927810669), 'RANet': (0.0389804197335609, 6.9532365798950195), 'PWNet': (0.5329058465971434, 8.568599939346313), 'RNet': (0.07088566973337719, 5.571804046630859), 'XNet': (0.04909588288919524, 10.592453241348267)}
{'Propensity Stratification': (0.11017682857794973, 0.0018944740295410156), 'Direct Difference': (130.1500516239573, 0.00044417381286621094), 'Adjusted Direct': (3.463688346538406, 1.7578072547912598), 'Horvitz-Thompson': (0.03331472620285579, 0.00040721893310546875), 'Doubly Robust': (0.028362108192807114, 2.0468554496765137), 'TMLE': (0.3475389370403664, 3.7915854454040527), 'Off-policy': (0.7154568375308747, 2.079826593399048), 'Double-Double': (0.0856141339928596, 3.660083770751953), 'Direct Prediction': (0.035158329665407856, 2.0322301387786865), 'FlexTENet': (1.2407881006555816, 12.346479415893555), 'OffsetNet': (0.12992529967587857, 3.751267433166504), 'TNet': (0.040043875290918546, 3.2206876277923584), 'TARNet': (0.40099869370519237, 3.891618251800537), 'SNet3': (0.7836315325663846, 12.545420408248901), 'DRNet': (0.05708016306713836, 7.71791410446167), 'RANet': (0.0006527634305563734, 6.373936414718628), 'PWNet': (0.004489603593815894, 6.720266819000244), 'RNet': (1.1697239816942846, 6.174544811248779), 'XNet': (0.23493619588625367, 9.350786447525024)}
{'Propensity Stratification': (0.04052163064754008, 0.0018944740295410156), 'Direct Difference': (29.36951151488365, 0.00042724609375), 'Adjusted Direct': (3.3399703338437763, 1.8098933696746826), 'Horvitz-Thompson': (0.0005755276624590916, 0.00040340423583984375), 'Doubly Robust': (0.0161257900958821, 1.8231654167175293), 'TMLE': (0.023867258164287454, 3.8720245361328125), 'Off-policy': (0.8644105855058614, 1.8042383193969727), 'Double-Double': (0.027288110519225427, 4.141798973083496), 'Direct Prediction': (0.009236815261061545, 1.8516128063201904), 'FlexTENet': (0.4185947948722074, 9.747719764709473), 'OffsetNet': (0.05655101177579736, 2.8209760189056396), 'TNet': (0.4096100964520626, 3.9118497371673584), 'TARNet': (0.10400937424063648, 2.519016981124878), 'SNet3': (0.08113705885341511, 16.14344334602356), 'DRNet': (0.01269620112475494, 8.022295713424683), 'RANet': (0.11867826494017458, 7.228062868118286), 'PWNet': (0.7580093637447579, 7.579464435577393), 'RNet': (0.8016991282823032, 5.513827800750732), 'XNet': (0.1369912582913027, 9.529603958129883)}
{'Propensity Stratification': (0.008901971921172843, 0.0019376277923583984), 'Direct Difference': (19.297296261383746, 0.0004398822784423828), 'Adjusted Direct': (2.8426365142740915, 1.8404204845428467), 'Horvitz-Thompson': (0.017383589429287926, 0.00039696693420410156), 'Doubly Robust': (0.006502401726864625, 1.863520622253418), 'TMLE': (0.003656966351901884, 3.9447238445281982), 'Off-policy': (0.42007144950631503, 2.1436421871185303), 'Double-Double': (0.025782376806716256, 3.631258964538574), 'Direct Prediction': (0.0232262343362335, 2.184068441390991), 'FlexTENet': (0.007111018136333841, 14.591726541519165), 'OffsetNet': (0.006748210006418191, 3.5063116550445557), 'TNet': (0.005772573659293727, 3.325260639190674), 'TARNet': (0.00031391793403575774, 2.8819217681884766), 'SNet3': (0.5562207054817871, 15.94849681854248), 'DRNet': (0.003743634944544359, 6.979610443115234), 'RANet': (0.02707448466568615, 5.768183708190918), 'PWNet': (0.29845728326837656, 7.3230366706848145), 'RNet': (0.035255162737238215, 6.117863655090332), 'XNet': (7.430658344149677e-07, 9.168025255203247)}
{'Propensity Stratification': (0.03448835971275436, 0.0018923282623291016), 'Direct Difference': (67.73891988169268, 0.0004265308380126953), 'Adjusted Direct': (1.8450725497464455, 1.860177993774414), 'Horvitz-Thompson': (0.39873072401223364, 0.0004069805145263672), 'Doubly Robust': (0.16281476511333248, 1.8645904064178467), 'TMLE': (0.02414049370925724, 3.996199607849121), 'Off-policy': (0.19081407587204097, 1.7837445735931396), 'Double-Double': (0.235106877369143, 3.856959342956543), 'Direct Prediction': (0.10974941589730429, 1.8055095672607422), 'FlexTENet': (0.538788460010537, 10.47750973701477), 'OffsetNet': (0.026856699925609715, 3.9616122245788574), 'TNet': (1.006880097603056, 3.948180913925171), 'TARNet': (0.8000214669625366, 2.970525026321411), 'SNet3': (0.06589027364765163, 12.792022943496704), 'DRNet': (0.09210018275161985, 7.963695764541626), 'RANet': (0.1751214276909282, 6.300894260406494), 'PWNet': (0.004234407762291997, 8.02434229850769), 'RNet': (0.023553702674258947, 6.3978846073150635), 'XNet': (0.13912659638809452, 11.442386150360107)}
{'Propensity Stratification': (17.73658681454392, 0.0019321441650390625), 'Direct Difference': (2912.6580895936218, 0.0004334449768066406), 'Adjusted Direct': (46.793855046711414, 1.9170594215393066), 'Horvitz-Thompson': (3.2401118626128764, 0.0004010200500488281), 'Doubly Robust': (4.615548643155832, 1.8607888221740723), 'TMLE': (23.018509558093132, 3.7622249126434326), 'Off-policy': (1.7921101111146178, 1.8262391090393066), 'Double-Double': (0.5246479097889357, 4.341951131820679), 'Direct Prediction': (4.799676187611685, 1.8636956214904785), 'FlexTENet': (94.76212371576898, 6.881901264190674), 'OffsetNet': (30.247528749867495, 5.293483018875122), 'TNet': (0.5028311704448318, 7.893758296966553), 'TARNet': (48.575159765872144, 2.4805452823638916), 'SNet3': (27.337511038606703, 7.527150630950928), 'DRNet': (7.326063630472081, 13.346962213516235), 'RANet': (0.741021555266099, 13.209072589874268), 'PWNet': (88.57728857558487, 12.956797361373901), 'RNet': (11.3195359941492, 8.755293130874634), 'XNet': (5.238211126764614, 15.164870500564575)}
{'Propensity Stratification': (2.680237270837407, 0.0018992424011230469), 'Direct Difference': (774.7620383630589, 0.00043129920959472656), 'Adjusted Direct': (5.90532526679718, 1.9287149906158447), 'Horvitz-Thompson': (0.336156299437454, 0.0003867149353027344), 'Doubly Robust': (0.09408856868115104, 2.1893184185028076), 'TMLE': (1.9157649415259332, 3.7367608547210693), 'Off-policy': (0.6571734218288356, 1.7869617938995361), 'Double-Double': (0.0544072610064998, 3.8875300884246826), 'Direct Prediction': (2.8020636401786403, 2.191211462020874), 'FlexTENet': (4.58374622785752, 5.657881736755371), 'OffsetNet': (4.3790102813623335, 5.052615165710449), 'TNet': (1.422223789301853, 5.933172225952148), 'TARNet': (1.269877264704687, 5.135725975036621), 'SNet3': (5.619257270238644, 9.773461818695068), 'DRNet': (1.5067328309241599, 11.160572528839111), 'RANet': (1.425400969267689, 9.51824164390564), 'PWNet': (4.080303458929045, 9.631142616271973), 'RNet': (2.7998764520266537, 8.040410995483398), 'XNet': (0.0144410946243755, 12.47371244430542)}
{'Propensity Stratification': (0.00703455415716673, 0.0019223690032958984), 'Direct Difference': (30.92493975052403, 0.0004096031188964844), 'Adjusted Direct': (2.7792060792509545, 1.9552655220031738), 'Horvitz-Thompson': (0.03450610147829977, 0.0003733634948730469), 'Doubly Robust': (0.008698371939266293, 1.870779037475586), 'TMLE': (0.058548610554207986, 4.157654285430908), 'Off-policy': (0.6408196340491137, 1.831421136856079), 'Double-Double': (0.07897220870112168, 3.9639759063720703), 'Direct Prediction': (0.03516624680536571, 1.8418004512786865), 'FlexTENet': (0.004681130531442032, 9.590166330337524), 'OffsetNet': (0.13191666164905105, 2.6820755004882812), 'TNet': (0.12304531016860089, 4.425725221633911), 'TARNet': (0.04064910847505305, 3.1821649074554443), 'SNet3': (0.7273295476614002, 13.612165689468384), 'DRNet': (0.08783177506502722, 8.038842916488647), 'RANet': (0.2698295366995004, 6.849979639053345), 'PWNet': (0.5802162515683387, 7.944859743118286), 'RNet': (0.00407327612462172, 5.815544605255127), 'XNet': (0.01933001117490019, 12.557576656341553)}
